review,stars,sentiment
Es incomodo ya que genera una pequeña molestia por la presión que hace sobre mi cabeza y en materiales el cable 3.5 y el materiales se ven de mala calidad a comparación de hyperx.,3,-1
"Lo use en una PC. El mayor inconveniente es el D-Pad, no tiene una buena respuesta. Jugando videojuegos lineales como SMB de NES uno no se da cuenta, pero jugando RPGS como TLOZ, DQ o FF para NES es difícil girar en una dirección, pues registra múltiples veces arriba izq/der.Los análogos o sticks me funcionaron sin problema alguno, pero serían excelentes si tuvieran un recubrimiento parecido a los de xbox 360, porque el plástico, de buena calidad pero liso, se desliza un poco en tus pulgares haciéndote sentir que pierdes precisión.Por lo demás es estéticamente muy llamativo. Siendo niño de los noventas siempre adoré el acabado traslúcido que te deja ver los circuitos y componentes de dispositivos. Las luces led son muy bonitas, y sobretodo el efecto lupa de los botones frontales es muy hermoso. Si quieres un control que se vea edgy y que haga su trabajo te lo recomiendo. Si buscas precisión, y te suda la mano, solo por el material de los sticks te recomendaría que buscaras otro control. Si quisieras también usarlo para juegos retros, te recomiendo usar controles inalámbricos de buena calidad tipo SNES o Saturn. Si hubiera 3.5 se lo pondría así que por la buena calidad de los materiales me inclino a un 4.",3,0
"Compré este ratón, y me encantó inicialmente. He estado usando el modo bluetooth sin ningún problema. Luego, cuando fui a conectar el dongle de 2.4Ghz a mi computadora, el surround USB de metal se atascó en mi computadora. No estaba contento de que el producto defectuoso de Razer pudiera haber arruinado mi puerto USB en mi computadora portátil. No es una reparación barata. Solicité un reemplazo a través de Amazon. El ratón que recibí inicialmente parecía funcionar muy bien. El dongle USB en este funciona perfectamente. Como mi computadora principal estará conectada a través de bluetooth, lo tenía conectado de esa manera. Descubrí que al reiniciar, el mouse no quiere conectarse. Tuve que usar el panel táctil de la computadora portátil para iniciar sesión, y entrar en la configuración de bluetooth. Muestra el Atheris, pero no está conectado. Para poder conectarlo de nuevo, tuve que olvidar/volver a conectar el mouse, y funciona. Desafortunadamente, no pude usar el dongle 2.4 de trabajo con el mouse que el bluetooth funcionaba perfectamente, y Amazon no me daría la opción de volver para un reemplazo de nuevo.Ahora el mouse cuesta un poco más de lo que inicialmente pagué por él, pero el que es NUEVO y no un Refurb está a la venta, así que voy a la nueva ruta. Esperemos que Razer pueda poner su programa de refurb en marcha en un futuro próximo.",3,-1
"Los tuve que regresar porque el micrófono metía ruido a la salida de audio. Pensé que sería porque los cables traían algún defecto y se mezclaba con los audífonos, sin embargo, noté que también pasaba con las bocinas. Puede que haya sido defecto de fábrica pero no los quise comprar de nuevo. Fuera de eso, estaba muy contenta con ellos, son ligeros y cómodos. El unico detalle que no me encantó fue que el cable del headset al adaptador es de plástico y no de tela.",3,-1
Ok no sé qué le pasó a mi teclado de la noche a la mañana el espacio se le empezó como a poner lento y se traba a cada rato como si le faltara humedecer o no se pero ya al tacto se vuelve súper raro usar e incomodo (no sé si le pasó a alguien más pero eso me pasó a mi) pero a ver en general por lo que me costo no es un mal teclado lo recomiendo para usarlo un tiempo en lo que compras uno ya de gama alta,3,-1
"Los materiales dan la impresion de ser de mala calidad y se sobrecalienta mucho, soll fue compatible con mi nintendo switch pero yo lo ocupaba para un Honor 20. Su compatibilidad es muy limitada.",3,
Era cool nada malo que decir,3,1
"El amiibo es la edición de Japon y eso no venía especificado en la publicación, favor de considerarlo en caso de que estés interesado.",3,0
"Llegó antes de lo previsto, pero llegó maltratado, deben tener más cuidado con este tipo de productos al enviarlos porque se maltratan.",3,0
"La caja llegó sin sello alguno, la pantalla tiene fuga de luz en la esquina superior izquierda más aparte al reverso de la pantalla superior en parte de la carcasa tiene también fugas de luz.Sobre el detalle del sonido nose si así sean de fabrica porque es mi primer consola 2ds que compro pero en comparación con el new 3ds XL el sonido es muy bajo, tal vez sea por la ubicación de las bocinas pero dudo mucho ya que tengo que poner el nivelador casi a la mitad para que apenas se escuche eso poniendo el oído cercas.",3,-1
